instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
capri,2690.0129138,optimal,2690.0129137681615,1.1835884081310426e-11,0.009047,0.008609,0.013447,236,optimal,2690.0129137681593,1.18367293325517e-11,0.004843,0.004742,0.00511,15,1,1.868,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
d6cube,315.49166667,optimal,315.4916666666668,1.0565047344488266e-11,0.522611,0.495411,0.73741,1013,optimal,315.49166666666696,1.056450682226661e-11,0.174937,0.142441,0.239542,15,1,2.987,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
degen2,-1435.178,optimal,-1435.178,0.0,0.053599,0.050234,0.078895,639,optimal,-1435.178,0.0,0.02092,0.017493,0.024555,15,1,2.562,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
e226,-18.751929066,optimal,-11.63892906637053,0.3793209741032128,0.024649,0.022223,0.031987,507,optimal,-11.638929066370537,0.3793209741032124,0.009679,0.009109,0.013378,15,1,2.547,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
etamacro,-755.71521774,optimal,-755.7152331221231,2.035439114736623e-08,0.040581,0.034567,0.046775,705,optimal,-755.7152333005275,2.0590464776887975e-08,0.012316,0.011556,0.01745,15,1,3.295,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
finnis,172790.96547,optimal,172791.06559561164,5.794609189835839e-07,0.019953,0.017668,0.026727,403,optimal,172791.06559561164,5.794609189835839e-07,0.006748,0.006454,0.010627,15,1,2.957,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
fit1d,-9146.3780924,optimal,-9146.378092420928,2.2880612277754342e-12,0.013044,0.012445,0.017044,56,optimal,-9146.378092420928,2.2880612277754342e-12,0.015829,0.013179,0.020934,15,1,0.824,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
fit2d,-68464.293294,optimal,-68464.2932938321,2.4523731981559937e-12,0.289137,0.2778,0.322758,224,optimal,-68464.2932938321,2.4523731981559937e-12,0.225672,0.196542,0.275336,15,1,1.281,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
forplan,-664.21873953,optimal,-664.2189612722057,3.3383912929692586e-07,0.020876,0.017514,0.026521,309,optimal,-664.2189612722054,3.338391289546084e-07,0.007441,0.006985,0.008412,15,1,2.806,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
grow15,-106870941.29,optimal,-106870941.29357535,3.345474335878028e-11,0.326954,0.305237,0.841996,3630,optimal,-106870941.29357533,3.3454603927415554e-11,0.054487,0.047831,0.073504,15,1,6.001,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
grow22,-160834336.48,optimal,-160834336.48256296,1.5935464895819175e-11,0.488156,0.451647,0.552394,3853,optimal,-160834336.48256296,1.5935464895819175e-11,0.117265,0.103841,0.131091,15,1,4.163,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
grow7,-47787811.815,optimal,-47787811.8147115,6.036977219428426e-12,0.108666,0.097319,0.124411,1932,optimal,-47787811.8147115,6.036977219428426e-12,0.014311,0.013015,0.023156,15,1,7.593,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
israel,-896644.82186,optimal,-896644.821863046,3.3971164739267804e-12,0.01524,0.011378,0.020833,176,optimal,-896644.8218630459,3.396986639549791e-12,0.004894,0.004552,0.007201,15,1,3.114,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
kb2,-1749.9001299,optimal,-1749.9001299062058,3.5464521611883195e-12,0.001443,0.001352,0.002321,51,optimal,-1749.9001299062056,3.546322225958555e-12,0.001407,0.000977,0.001699,15,1,1.025,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
lotfi,-25.264706062,optimal,-25.264706061880016,4.74900622496902e-12,0.010311,0.00791,0.016139,243,optimal,-25.264706061880002,4.749568703498567e-12,0.003569,0.003374,0.006322,15,1,2.889,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
pilot4,-2581.1392641,optimal,-2581.139258883888,2.0208565489991203e-09,0.133693,0.118508,0.171284,1060,optimal,-2581.1392588838853,2.0208576060843163e-09,0.038286,0.034236,0.050389,15,1,3.492,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
recipe,-266.616,optimal,-266.61600000000027,1.0660166468030429e-15,0.001407,0.001297,0.002213,41,optimal,-266.61600000000027,1.0660166468030429e-15,0.00141,0.00138,0.002027,15,1,0.998,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
sc105,-52.202061212,optimal,-52.20206121170722,5.608574210909634e-12,0.002398,0.002183,0.003208,88,optimal,-52.20206121170723,5.608301983062969e-12,0.001307,0.00125,0.002381,15,1,1.834,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
sc205,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.006936,0.006151,0.009413,209,optimal,-52.20206121170721,5.608710324832966e-12,0.002587,0.002453,0.002816,15,1,2.681,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.001138,0.001074,0.001718,42,optimal,-64.5750770585645,6.743958545329677e-12,0.000755,0.000694,0.001141,15,1,1.506,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
sc50b,-70.0,optimal,-69.99999999999999,2.0301221021717148e-16,0.001222,0.001028,0.001721,42,optimal,-69.99999999999999,2.0301221021717148e-16,0.000882,0.000706,0.001216,15,1,1.385,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scagr25,-14753433.061,optimal,-14753433.060768533,1.5689039049257294e-11,0.017634,0.016416,0.023168,465,optimal,-14753433.060768528,1.5689417804183323e-11,0.008879,0.008299,0.012724,15,1,1.986,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scagr7,-2331389.2548,optimal,-2331389.824330984,2.442882426212426e-07,0.002655,0.002504,0.004171,111,optimal,-2331389.824330984,2.442882426212426e-07,0.002518,0.002358,0.004287,15,1,1.054,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scfxm1,18416.759028,optimal,18416.759028348937,1.89466961451629e-11,0.02342,0.021098,0.031078,460,optimal,18416.759028348948,1.8947288754123286e-11,0.011265,0.009279,0.014392,15,1,2.079,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scorpion,1878.1248227,optimal,1878.1248227381068,2.0289754267304842e-11,0.008912,0.008667,0.013636,242,optimal,1878.1248227381068,2.0289754267304842e-11,0.003645,0.00325,0.005791,15,1,2.445,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scrs8,904.29998619,optimal,904.2969538007919,3.3533000712269414e-06,0.039104,0.036171,0.048618,610,optimal,904.296953800792,3.3533000711012235e-06,0.011432,0.010613,0.01323,15,1,3.421,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scsd1,8.6666666743,optimal,8.666666674333364,3.8496385532573e-12,0.008958,0.008137,0.012947,155,optimal,8.666666674333364,3.8496385532573e-12,0.002905,0.002701,0.003549,15,1,3.084,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scsd6,50.500000078,optimal,50.50000007714434,1.6943700541837166e-11,0.027013,0.023586,0.032088,367,optimal,50.5000000782623,5.194137741149621e-12,0.009846,0.008547,0.012594,15,1,2.744,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
scsd8,904.99999993,optimal,904.9999999254641,5.012019283721412e-12,0.217014,0.188878,0.236473,1785,optimal,904.9999999254643,5.011768042091069e-12,0.052263,0.04819,0.059768,15,1,4.152,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
sctap1,1412.25,optimal,1412.25,0.0,0.010929,0.010102,0.015448,269,optimal,1412.25,0.0,0.007382,0.006662,0.010843,15,1,1.48,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
share1b,-76589.318579,optimal,-76589.31857918552,2.4223007945303396e-12,0.00502,0.004414,0.006883,136,optimal,-76589.31857918572,2.42496078442158e-12,0.003679,0.003508,0.004415,15,1,1.365,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
share2b,-415.73224074,optimal,-415.7322407414191,3.4134854427794508e-12,0.003822,0.003674,0.006175,133,optimal,-415.73224074141945,3.4143058278247812e-12,0.002147,0.002109,0.002952,15,1,1.78,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
ship04l,1793324.538,optimal,1793324.5379703562,1.6530061397825488e-11,0.031797,0.02947,0.046271,449,optimal,1793324.5379703562,1.6530061397825488e-11,0.010238,0.009352,0.015555,15,1,3.106,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
ship04s,1798714.7004,optimal,1798714.7004453922,2.5235906848026957e-11,0.016797,0.014729,0.021313,300,optimal,1798714.7004453917,2.523564796245316e-11,0.0079,0.006992,0.011524,15,1,2.126,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
stair,-251.26695119,optimal,-251.2669511929633,1.17934501716146e-11,0.037949,0.035056,0.048122,448,optimal,-251.26695119296335,1.1793676398814761e-11,0.01764,0.015709,0.023968,15,1,2.151,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
standata,1257.6995,optimal,1257.6995000000002,1.8078537476021266e-16,0.005163,0.004759,0.008129,58,optimal,1257.6995,0.0,0.005862,0.005455,0.00729,15,1,0.881,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
standmps,1406.0175,optimal,1406.0175000000002,1.617146838095771e-16,0.013226,0.011978,0.01692,200,optimal,1406.0175,0.0,0.00654,0.005958,0.010266,15,1,2.022,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
stocfor1,-41131.976219,optimal,-41131.97621943643,1.0610571280306333e-11,0.002843,0.002585,0.003684,101,optimal,-41131.97621943641,1.061004060138329e-11,0.002266,0.001806,0.002864,15,1,1.255,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
tuff,0.29214776509,optimal,0.2921477650936128,3.612776744432722e-12,0.01395,0.013123,0.020763,239,optimal,0.292147765093613,3.612998789037647e-12,0.009892,0.009076,0.014603,15,1,1.41,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
wood1p,1.4429024116,optimal,1.4429024115734101,1.8428024810276435e-11,0.138383,0.124625,0.150329,406,optimal,1.442902411573409,1.8428794247638033e-11,0.082551,0.075911,0.094874,15,1,1.676,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
