instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.02s and 1361 nodes,124.00000000000004,119.0,103.209,20.79100000000004,0.16766935483870993,0,0,1,1361,60.097746,60.0161889,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 14629 nodes,15079.0,14393.0,10802.07142857143,4276.928571428571,0.2836347616837039,0,0,1,14629,60.066216,60.0015787,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0.068423,0.0096795,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 27956 nodes,15.999999999999993,15.0,13.874999999999996,2.1249999999999964,0.13281249999999983,0,0,1,27956,60.048246,60.001991,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 74098 nodes,-39.0,-41.00000885,-43.0,4.0,0.10256410256410256,0,0,1,74098,60.053015,60.0011671,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 24208 nodes,-16.0,-16.00000000000012,-20.021390374331553,4.021390374331553,0.25133689839572204,1,0,1,24208,60.049000,60.0007793,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,feasible,"stopped on a relative gap target (6.667e-01 absolute, 8.755e-05 relative) after 2125 nodes",7615.0,7614.999999999997,7614.33333333333,0.6666666666696983,8.754650908334844e-05,1,0,1,2125,6.363877,6.3324976,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 67782 nodes,18.999999999999908,11.0,3.2469134650432925,15.753086534956616,0.8291098176292996,0,0,1,67782,60.035864,60.0002132,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.00s and 7271 nodes,3795.0,3663.999999980964,3330.980575192792,464.019424807208,0.12227125818371752,0,0,1,7271,60.042830,60.003657,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 14442 nodes,3385.0,3252.0,2940.9523809523807,444.04761904761926,0.13118098051628338,0,0,1,14442,60.029329,60.0026795,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,stopped at the time limit after 60.01s and 6621 nodes,14.999999999999996,14.99999999990919,13.24444444444444,1.7555555555555564,0.11703703703703712,1,0,1,6621,60.047001,60.014636,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,141,0.635997,0.5753031,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,257,0.583602,0.5215017,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,node_limit,stopped at the time limit after 60.00s and 4810 nodes,inf,764771.99999978,125276.33333322001,inf,inf,0,0,,4810,60.044229,60.0024456,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
